State,Hospitals,Primary_Health_Centers,Doctors,Nurses,Hospital_Beds,Population_per_Bed,Infant_Mortality_Rate
Andhra Pradesh,1250,2345,15678,23456,45678,1085,32.5
Arunachal Pradesh,45,234,567,1234,890,1551,28.9
Assam,890,1567,12345,18923,23456,1789,35.2
Bihar,2345,3456,23456,34567,45678,2289,42.8
Chhattisgarh,678,1234,12345,18923,23456,1089,38.5
Goa,45,123,567,1234,1234,1185,12.3
Gujarat,1234,2345,18923,28901,34567,1756,28.9
Haryana,678,1234,12345,18923,23456,1089,32.1
Himachal Pradesh,234,567,5678,8901,12345,815,25.6
Jharkhand,567,1234,12345,18923,23456,1378,36.8
Karnataka,1234,2345,18923,28901,34567,1767,28.5
Kerala,678,1234,12345,18923,23456,1334,12.8
Madhya Pradesh,1234,2345,18923,28901,34567,2102,47.2
Maharashtra,2345,3456,28901,45678,56789,1978,25.6
Manipur,123,234,3456,5678,6789,5523,14.2
Meghalaya,89,234,2345,4567,5678,5223,32.8
Mizoram,45,123,2345,4567,5678,12123,35.6
Nagaland,67,123,2345,4567,5678,8489,23.4
Odisha,890,1567,12345,18923,23456,1789,41.2
Punjab,678,1234,12345,18923,23456,1089,21.8
Rajasthan,1234,2345,18923,28901,34567,1985,41.5
Sikkim,23,67,567,1234,1234,494,18.9
Tamil Nadu,1234,2345,18923,28901,34567,2089,19.6
Telangana,890,1567,12345,18923,23456,1978,32.4
Tripura,123,234,3456,5678,6789,540,26.8
Uttar Pradesh,2345,3456,28901,45678,56789,3512,50.2
Uttarakhand,234,567,5678,8901,12345,817,28.9
West Bengal,1234,2345,18923,28901,34567,2642,31.2
Delhi,234,567,5678,8901,12345,717,22.8
Jammu and Kashmir,567,1234,12345,18923,23456,2162,23.4
Ladakh,23,67,567,1234,1234,222,18.9
Chandigarh,45,123,567,1234,1234,234,16.8
Dadra and Nagar Haveli,12,34,234,456,567,1035,28.9
Daman and Diu,8,23,123,234,345,705,24.6
Lakshadweep,4,12,67,123,234,275,12.8
Puducherry,23,67,567,1234,1234,1012,18.9
Andaman and Nicobar Islands,12,34,234,456,567,3172,23.4