State,District,Population,Male,Female,Literacy_Rate,Households
Maharashtra,Mumbai,12442373,6521896,5920477,89.21,2845000
Maharashtra,Pune,9426941,4852341,4574600,87.19,2100000
Maharashtra,Nagpur,4977779,2545678,2432101,88.39,1150000
Maharashtra,Thane,11060148,5723456,5336692,85.56,2450000
Maharashtra,Nashik,6107187,3156789,2950398,82.31,1350000
Maharashtra,Aurangabad,3701282,1923456,1777826,79.85,820000
Maharashtra,Solapur,4317756,2234567,2083189,77.72,950000
Maharashtra,Kolhapur,3876001,1987654,1888347,81.77,860000
Maharashtra,Sangli,2822143,1456789,1365354,78.92,625000
Maharashtra,Satara,3003914,1545678,1458236,80.12,665000